player_id,firstName,lastName,pagerank,birthDate,age_group,playingPosition
9917,Henri,Siqueira-Barras,0.000265162747022288,1985,30,DEF
3432,Florian,Mohr,0.000258315456462257,1984,30,DEF
7781,Alexis,"",0.00025506189126907,1985,30,DEF
7335,Justin,Hoyte,0.000235209491430894,1984,30,DEF
11695,Philipp,Jäschke,0.000205567992137505,1984,30,DEF
7445,Can,Arat,0.000168092812268158,1984,30,DEF
16638,Edson,Henrique,0.000157440824772262,1987,30,DEF
9915,Reto,Ziegler,0.00013653308949955,1986,30,DEF
8628,Matthias,Langkamp,0.000134242668357213,1984,30,DEF
15588,Artem,Madilov,0.000125057649131717,1985,30,DEF
2926,György,Garics,0.00011122206479929,1984,30,DEF
8707,Ilker,Erbay,0.00010929019847834,1984,30,DEF
14195,Gonçalo,Brandão,0.000106346754470291,1986,30,DEF
4270,Bruno,Collaço,0.000106085227832234,1990,30,DEF
16887,Johann,Smith,0.00010544694222745,1987,30,DEF
7374,Dennis,Cagara,0.000102302924831553,1985,30,DEF
4766,Adam,Green,0.000102248749108937,1984,30,DEF
15590,Ruslan,Nakhushev,0.000101056847281992,1984,30,DEF
8070,Patrick,Osoinik,9.90701462510881e-05,1985,30,DEF
19230,Alessandro,Iandoli,9.89853513116808e-05,1984,30,DEF
7449,Gaël,Clichy,9.68190066588843e-05,1985,30,DEF
4105,Osei,Sankofa,9.33288565555325e-05,1985,30,DEF
9594,Vincent,Kompany,9.0147981619748e-05,1986,30,DEF
7450,Andreas,Gaebler,8.63417667957334e-05,1984,30,DEF
10058,Arnaud,Bühler,8.37262281932029e-05,1985,30,DEF
12773,Ricky,Foster,8.18703781645385e-05,1985,30,DEF
17114,Maksim,Usanov,8.03637924531571e-05,1985,30,DEF
17112,Saidou,Panandetiguiri,7.69325152763679e-05,1984,30,DEF
14891,Abdoulaye,Barry,7.63750306549566e-05,1984,30,DEF
17976,Anthony,Scaramozzino,7.47933075482523e-05,1985,30,DEF
19477,Niklas,Hoheneder,7.4737442793573e-05,1986,30,DEF
11924,Rubén,Zamponi,7.35334914416083e-05,1986,30,DEF
9981,James,Biggins,7.29040076736565e-05,1985,30,DEF
21124,Michal,Svec,7.2457329804634e-05,1987,30,DEF
15166,Liam,Rosenior,7.15221631933567e-05,1984,30,DEF
13000,Georgios,Smiltos,7.13262130157433e-05,1992,30,DEF
22601,Simone,Piva,6.88304337457832e-05,1984,30,DEF
20381,Michael,Madl,6.84198495981556e-05,1988,30,DEF
4305,Damir,Memisevic,6.75412753296733e-05,1984,30,DEF
18831,Bilal,Aziz,6.73643787363049e-05,1985,30,DEF
3825,Jay,McEveley,6.63412112558454e-05,1985,30,DEF
20623,Pape,Sow,6.62963711774021e-05,1985,30,DEF
24956,Barge,"",6.58039629505088e-05,1984,30,DEF
13813,Edcarlos,"",6.53530509265655e-05,1985,30,DEF
22978,Christian,Nielsen,6.41698318780899e-05,1985,30,DEF
7099,Andrea,D'Agostino,6.37925099695795e-05,1985,30,DEF
9595,Sergio,Hellings,6.35889668515727e-05,1984,30,DEF
21322,Daniel,Miethaner,6.33617483370936e-05,1986,30,DEF
16639,Douglas,Silva,6.27641965993031e-05,1984,30,DEF
3851,Jan-Ingwer,Callsen-Bracker,6.26774887178698e-05,1984,30,DEF
7270,Feridun,Sungur,6.26299512843164e-05,1984,30,DEF
10054,Danny,Livesey,6.24349609492952e-05,1984,30,DEF
12674,Paul,Quinn,6.04824626536893e-05,1985,30,DEF
3881,Glen,Johnson,5.99889079305189e-05,1984,30,DEF
17094,Andreas,Hölzl,5.98484517406492e-05,1985,30,DEF
12906,Mickael,Ciani,5.92550068543108e-05,1984,30,DEF
3835,Alcides,"",5.88919942947769e-05,1985,30,DEF
18706,Lukas,Schenkel,5.67075204583057e-05,1984,30,DEF
4418,Michael,Jansen,5.65644957539564e-05,1984,30,DEF
18012,Paul,Quasten,5.61836481849149e-05,1985,30,DEF
2233,Christian,Lell,5.58764113649414e-05,1984,30,DEF
6304,Franz,Schiemer,5.50543508951568e-05,1986,30,DEF
11724,Steve,Müller,5.49337194827382e-05,1985,30,DEF
1753,Daniyel,Cimen,5.43704737499822e-05,1985,30,DEF
18759,Nana,Asare,5.37773829856466e-05,1986,30,DEF
13993,Gary,Borrowdale,5.35244386793284e-05,1985,30,DEF
10172,Mischa,Welm,5.34253000129546e-05,1984,30,DEF
15165,Chris,Hogg,5.29596297559594e-05,1985,30,DEF
22762,Simone,Vitale,5.20474508386445e-05,1986,30,DEF
15047,Ronnie,Bendtsen,5.20417378266307e-05,1984,30,DEF
21617,Patrick,Funaro,5.13546547388856e-05,1984,30,DEF
23295,Antonio,Puerta †,5.11332573043073e-05,1984,30,DEF
22264,Antonio,Aquilanti,5.07368040526528e-05,1985,30,DEF
14827,Ulrich,Winkler,5.06833662508226e-05,1985,30,DEF
22344,Matthias,Geldof,4.94491858743591e-05,1985,30,DEF
4039,Dean,Leacock,4.78812192535591e-05,1984,30,DEF
13354,Wim,Raymaekers,4.76592046198598e-05,1985,30,DEF
