player_id,firstName,lastName,pagerank,birthDate,age_group,playingPosition
2905,Mamadou,Kanté,0.00050148457427656,1984,30,ATT
4763,Bo,Storm,0.000271027088748027,1987,30,ATT
1671,Mirnel,Sadovic,0.000257129746373603,1984,30,ATT
7416,Roman,Kienast,0.000206837065158991,1984,30,ATT
12551,Éric,Mouloungui,0.000196367652448848,1984,30,ATT
3169,Daniele,Fiorentino,0.000185354929441872,1984,30,ATT
6322,Patrick,Helmes,0.000154275884536548,1984,30,ATT
3975,Domi,Kumbela,0.000147962951112098,1984,30,ATT
2087,Dustin,Heun,0.000146828108219312,1984,30,ATT
8883,Emmanuel,Adebayor,0.000143230279091081,1984,30,ATT
15929,Jamie,Mackie,0.000134400891603241,1985,30,ATT
16722,Greg,Pearson,0.000131523975636521,1985,30,ATT
3269,Calvin,Zola,0.00013063890160234,1984,30,ATT
15800,Xisco,Nadal,0.000128526775143957,1986,30,ATT
9814,Bruno,Moraes,0.00012446441943157,1984,30,ATT
4360,Arjen,Robben,0.00011037332073927,1984,30,ATT
6307,Andreas,Bammer,0.000103571257008627,1984,30,ATT
17992,Shutlan,Axwijk,9.95603516764942e-05,1986,30,ATT
7961,Rowin,van Zaanen,9.94123601757488e-05,1984,30,ATT
2810,Deniz,Kacan,9.6815217953896e-05,1984,30,ATT
4697,Eldridge,Rojer,9.55885393874031e-05,1984,30,ATT
3332,Wayne,Rooney,9.5407997588105e-05,1985,30,ATT
4976,Stephan,Stückler,9.19264406201894e-05,1985,30,ATT
15185,Lukas,Podolski,8.94650825526254e-05,1985,30,ATT
6237,Stefan,Kießling,8.86352192506823e-05,1984,30,ATT
9381,Jerónimo,Neumann,8.22658775569088e-05,1986,30,ATT
5794,Obafemi,Martins,7.85291879044153e-05,1984,30,ATT
16141,Bajram,Fetai,7.68717032583183e-05,1985,30,ATT
18003,Thijs,Hendriks,7.40077695063674e-05,1985,30,ATT
9506,Craig,Beattie,7.30275038846456e-05,1984,30,ATT
15530,Bastian,Heidenfelder,7.12732130764667e-05,1986,30,ATT
13239,Darren,Bent,6.90177976559888e-05,1984,30,ATT
14879,Pierre,Boya,6.89854798610846e-05,1984,30,ATT
19946,Pablo,Barrientos,6.62883005646453e-05,1985,30,ATT
19993,Hernán,Peirone,6.5799184339238e-05,1986,30,ATT
11543,Andreas,Neumeyer,6.30569488985776e-05,1984,30,ATT
18622,Alexander,Schörg,6.23916173641627e-05,1985,30,ATT
9587,Denis,Calincov,6.19119614906173e-05,1985,30,ATT
7767,Fernando,Torres,6.19008758695242e-05,1984,30,ATT
21021,Martin,Fenin,6.12734405746892e-05,1987,30,ATT
15009,Adem,Sari,6.10142931298846e-05,1985,30,ATT
18757,Matthias,Amann,6.08759405504352e-05,1986,30,ATT
8730,Manuel,Lanzarote,6.07451672434748e-05,1984,30,ATT
9617,Tom,Brighton,6.03206500389109e-05,1984,30,ATT
9335,Rui,Fonte,5.98378633984635e-05,1990,30,ATT
9711,Nery,Castillo,5.89137538798809e-05,1984,30,ATT
24868,Julian,Jenner,5.8109054865125e-05,1984,30,ATT
15765,Tim,Janssen,5.77246273638436e-05,1986,30,ATT
4216,Florent,Sinama-Pongolle,5.68213440812724e-05,1984,30,ATT
12617,Pat,Clarke,5.61451912488015e-05,1985,30,ATT
